title,year,director,pan,tilt,pan_w_tilt,track,tr_w_pan,tr_w_pan_n_tilt,crane,zoom,total
10 Things I Hate About You,1999,Gil Junger,12,3,6,20,32,18,10,1,102
An Almost Perfect Affair,1979,Michael Ritchie,41,6,6,15,52,2,2,1,122
The Amityville horror,1979,Stuart Rosenberg,43,13,16,16,16,2,18,4,106
Angela's Ashes,1999,Alan Parker,21,3,14,9,4,1,0,1,53
Annie Hall,1977,Woody Allen,35,4,5,27,35,0,0,0,106
Another Thin Man,1939,W.S. Van Dyke,41,6,6,15,52,2,,,122
The Arsenal Stadium Mystery,1939,Thorold Dickinson,4,35,14,6,7,0,,0,121
At the Circus,1939,Edward Bussell,43,13,16,16,16,2,,,106
Back Street,1941,Robert Stevenson,13,0,6,12,19,5,2,0,57
The Sea Monster Behemoth,1959,Eugene Lourié,20,7,14,23,8,1,0,1,74
Ben-Hur,1959,William Wyler,24,12,14,55,12,3,4,0,123
The Best of Everything,1959,Jean Negulesco,54,7,18,21,45,11,0,0,156
The Black Stallion,1979,Carroll Ballard,49,0,19,32,47,0,1,0,147
The Blair Witch Project,1999,D & Sanchez E. Myrick,12,12,79,24,15,137,0,31,310
Blind Alley,1939,Charles Vidor,49,0,19,32,47,,,,147
Broadway Danny Rose,1984,Woody Allen,61,0,16,12,28,2,6,5,130
Brokedown Palace,1999,Jonathan Kaplan,20,2,23,19,15,15,10,0,104
The Cat and the Canary,1939,Nugent Elliott,59,4,18,24,39,,,,144
Caught,1949,Max Ophuls,23,2,12,30,65,25,0,0,157
The Champ,1979,Franco Zeffirelli,59,4,18,24,39,0,16,10,144
Compulsion,1959,Richard Fleischer,19,4,3,17,19,10,5,0,77
Crazy in Alabama,1999,Antonio Banderas,16,6,12,27,21,7,6,0,93
Cuba,1979,Richard Lester,47,4,20,22,33,0,6,2,127
Darby O'Gill and the Little People,1959,Robert Stevenson,24,4,9,5,2,1,0,0,44
Dark City,1998,Alex Proyas,15,10,11,22,1,6,35,0,100
De Mayerling à Sarajevo,1940,Max Ophuls,48,4,4,18,15,4,2,0,95
Deep Blue Sea,1999,Renny Harlin,14,7,8,27,9,7,2,0,74
Destry Rides Again,1939,George Marshall,47,4,20,22,33,1,,,127
Detroit Rock City,1999,Adam Rifkin,14,8,15,27,10,13,2,7,96
Dracula,1979,John Badham,50,7,44,28,31,0,2,1,160
Driller Killer,1979,Abel Ferrara,55,1,3,6,3,0,14,3,68
Each Dawn I Die,1939,William Keighley,50,7,44,28,31,,,,160
EDtv,1999,Ron Howard,15,3,11,29,9,11,3,5,86
The Exile,1948,Max Ophuls,29,1,17,19,37,22,17,0,142
The Five Pennies,1959,Melville Shavelson,28,4,11,30,34,8,4,2,120
The Four Skulls of Jonathan Drake,1959,Edward L. Cahn,43,3,12,25,15,3,3,3,108
French Postcards,1979,Willard Huyck,50,1,15,4,4,0,4,4,74
The Frisco Kid,1979,Robert Aldrich,52,2,11,21,30,0,2,1,116
Gaslight,1940,Thorold Dickinson,7,34,27,29,20,3,,0,161
Gidget,1959,Paul Wendkos,73,5,17,9,1,16,0,0,120
Go! Go Johnny,1959,Paul Landres,38,1,0,9,33,4,0,0,86
Great Expectations,1946,David Lean,3,15,26,8,9,3,,0,102
The Great Santini,1979,Lewis John Carlino,69,4,21,37,7,0,1,1,138
H.O.T.S.,1979,Gerald Seth Sindell,48,3,12,36,33,7,12,7,139
Harlem Rides the Range,1939,Richard C. Kahn,55,1,3,6,3,,,,68
Heller in Pink Tights,1960,George Cukor,36,8,12,15,19,6,1,1,98
Heritage of the Desert,1939,Lesley Selander,50,1,15,4,4,,,,74
The High Command,1937,Thorold Dickinson,7,12,13,7,12,0,,0,89
Hometown U.S.A.,1979,Max Baer Jr.,29,2,7,13,34,4,2,0,89
Ich bei Tag und Du bei Nacht,1932,Ludwig Berger,34,9,28,33,49,29,1,0,183
In Old Caliente,1939,Joseph Kane,69,4,21,37,7,,,,138
The Insider,1999,Michael Mann,23,3,11,21,29,5,2,2,96
The Invisible Killer,1939,Sam Newfield,52,2,11,21,30,,,,116
Jakob the Liar,1999,Peter Kassovitz,18,6,17,24,32,15,3,0,115
Kameradschaft,1931,G.W. Pabst,53,7,13,23,42,3,7,0,148
King Frat,1979,Ken Wiederhorn,36,7,14,12,6,1,1,1,77
Komedie om Geld,1936,Max Ophuls,17,1,10,25,15,16,1,0,85
der Kongress tanzt,1931,Erik Charell,50,3,13,59,55,20,8,0,208
die lachenden Erben,1932,Max Ophuls,17,1,3,15,6,1,0,0,43
Last Train from Gun Hill,1959,John Sturges,77,14,18,18,5,4,3,0,138
Letter from an Unknown Woman,1948,Max Ophuls,67,2,14,22,59,10,10,0,184
Liebelei,1932,Max Ophuls,100,0,15,17,17,3,0,0,152
Life,1999,Ted Demme,14,2,3,19,18,6,4,0,66
The Little Princess,1939,Walter Lang,48,3,12,36,33,7,,,139
Lola Montès,1955,Max Ophuls,52,8,19,19,62,54,9,0,223
Love Affair,1939,Leo McCarey,29,2,7,13,34,4,,,89
Love Stinks,1999,Jeff Franklin,19,4,7,14,20,9,4,0,77
Madame Bovary,1949,Vincente Minelli,49,2,5,50,37,12,4,0,159
Madame de ...,1953,Max Ophuls,64,4,18,13,77,39,3,0,218
Man on the Moon,1999,Milos Forman,25,2,7,6,7,2,2,0,51
Manhattan,1979,Woody Allen,54,10,11,13,46,0,2,0,134
The Mating Habits of Earthbound Humans,1999,Jeff Abugov,24,4,5,9,3,1,1,0,47
Men of Two Worlds,1946,Thorold Dickinson,4,20,44,24,19,7,,0,131
Meteor,1979,Ronald Neame,56,4,13,15,39,0,1,3,127
The Minus Man,1999,Hampton Fancher,14,8,21,13,10,10,3,0,79
Mr. Smith Goes to Washington,1939,Frank Capra,36,7,14,12,6,1,1,,77
The Mystery of Mr. Wong,1939,William Nigh,54,10,11,13,46,,,,134
Nancy Drew Reporter,1939,Wiliam Clemens,56,4,13,15,39,,,,127
Never So Few,1959,John Sturges,21,6,10,39,28,7,6,0,117
The Next of Kin,1942,Thorold Dickinson,10,33,14,31,16,0,,0,146
Nicholas Nickelby,1947,Alberto Cavalcanti,4,13,56,43,23,4,,0,163
North by North-West,1959,Alfred Hitchcock,20,3,8,29,18,4,3,1,87
The Nun's Story,1959,Fred Zinneman,36,10,16,28,22,6,0,0,118
Odds Against Tomorrow,1959,Robert Wise,55,6,53,9,10,5,0,7,145
The Old Maid,1939,Goulding Edmund,48,4,35,25,56,,,,168
On the Beach,1959,Stanley Kramer,31,4,20,36,24,28,18,0,160
Pacific Inferno,1979,Rolf Bayer,48,4,35,25,56,0,2,2,168
Pillow Talk,1959,Michael Gordon,21,6,6,23,47,9,2,0,113
le Plaisir,1952,Max Ophuls,87,4,28,17,72,42,31,0,281
The Purple Rose of Cairo,1985,Woody Allen,28,0,13,9,29,0,0,2,81
The Queen of Spades,1948,Thorold Dickinson,11,20,30,38,35,3,,0,152
The Reckless Moment,1949,Max Ophuls,92,2,21,24,62,11,3,0,215
Ride Lonesome,1959,Bud Boetticher,23,2,12,9,11,4,12,0,72
la Ronde,1950,Max Ophuls,49,5,9,26,39,24,5,0,157
Rose of Washington Square,1939,Gregory Ratoff,43,1,6,30,21,2,,,103
The Rose,1979,Mark Rydell,43,1,6,30,21,2,16,4,103
The Saint Strikes Back,1939,John  Farrow,52,6,10,24,42,,,,134
Sans lendemain,1939,Max Ophuls,39,0,5,12,30,5,1,0,92
Secret People,1951,Thorold Dickinson,7,20,23,31,18,1,,0,124
Shadows,1959,John Cassavetes,55,4,11,2,2,2,0,0,75
La signora di Tutti,1934,Max Ophuls,42,4,7,59,31,14,1,0,158
The Sixth Sense,1999,M. Night Shyamalam,8,1,11,46,12,14,5,0,97
SLC Punk!,1999,James Merendino,11,6,13,31,10,11,10,0,92
The Small Back Room,1948,Michael Powell,6,10,13,8,10,1,,0,60
Snow Falling on Cedars,1999,Scott Hicks,21,7,30,22,9,9,5,0,103
Some Like it Hot,1959,Billy Wilder,51,9,24,28,23,10,0,0,144
Stardust Memeories,1980,Woody Allen,24,2,11,31,50,0,5,0,123
Last Summer Suddenly,1959,Joseph Mankiewicz,25,4,14,25,37,12,7,0,123
The Talented Mr. Ripley,1999,Anthony Minghella,12,5,15,19,15,10,3,0,79
la Tendre ennemie,1936,Max Ophuls,22,6,1,32,22,3,0,0,86
The Third Man,1949,Carol Reed,3,10,10,8,4,0,,0,56
Three to Tango,1999,Damon Santostefano,8,2,7,15,8,6,2,0,48
Tourist Trap,1979,David Schmoeller,52,6,10,24,42,0,0,0,134
Tower of London,1939,Rowland V. Lee,22,7,10,12,16,4,,,71
Verboten!,1959,Samuel Fuller,35,7,19,19,22,12,2,0,117
die verkaufte Braut,1932,Max Ophuls,41,2,5,14,7,5,1,0,75
die verliebte Firma,1932,Max Ophuls,27,1,6,5,4,4,0,0,47
Werther,1938,Max Ophuls,68,0,5,17,31,5,0,0,126
Winter Kills,1979,William Richert,22,7,10,12,16,4,2,1,71
Wise Blood,1979,John Huston,41,7,19,13,21,7,4,7,108
Wuthering Heights,1939,William Wyler,41,7,19,13,21,7,,,108
Yoshiwara,1937,Max Ophuls,28,6,6,27,10,4,2,0,83
